Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
251,Bruno Fuchs,br BRA,DF,Atlético Mineiro,23,1999,12.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
252,Julio Furch,ar ARG,"FW,MF",Santos,33,1989,6.8,3,19,9,47.4,2.81,1.33,0.16,0.33,12.8,0,0,0,2.8,2.8,0.15,#ERROR!,#ERROR!,Matches
253,Gabriel,br BRA,DF,Bahia,21,2001,10.9,0,7,3,42.9,0.64,0.28,0.00,0.00,13.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
254,Gabriel,br BRA,MF,Internacional,30,1992,8.5,0,4,0,0.0,0.47,0.00,0.00,,30.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
255,Gabriel,br BRA,GK,Coritiba,30,1992,30.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
256,Gabriel,br BRA,MF,Botafogo (RJ),29,1993,9.6,0,15,4,26.7,1.56,0.42,0.00,0.00,23.3,3,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
257,Eduardo Gabriel,br BRA,DF,Santos,26,1996,3.0,1,8,2,25.0,2.68,0.67,0.13,0.50,12.1,0,0,0,0.4,0.4,0.05,#ERROR!,#ERROR!,Matches
258,Thalisson Gabriel,br BRA,DF,Coritiba,21,2002,10.5,0,3,2,66.7,0.29,0.19,0.00,0.00,10.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
259,Zé Gabriel,br BRA,MF,Vasco da Gama,24,1999,21.5,1,13,3,23.1,0.60,0.14,0.08,0.33,28.3,0,0,0,0.5,0.5,0.04,#ERROR!,#ERROR!,Matches
260,Ighor Gabryel,br BRA,FW,América (MG),20,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
261,Matías Galarza,py PAR,MF,Vasco da Gama,20,2002,4.5,1,9,2,22.2,02.02,0.45,0.11,0.50,21.2,0,0,0,0.6,0.6,0.07,#ERROR!,#ERROR!,Matches
262,Thiago Galhardo,br BRA,"FW,MF",Fortaleza,33,1989,20.8,5,60,19,31.7,2.88,0.91,0.05,0.16,16.9,0,2,2,7.2,5.6,0.09,-2.2,-2.6,Matches
263,JP Galvão,br BRA,DF,Botafogo (RJ),21,2001,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
264,Ganso,br BRA,MF,Fluminense,33,1989,19.3,3,22,7,31.8,1.14,0.36,0.14,0.43,19.1,1,0,0,2.3,2.3,0.10,#ERROR!,#ERROR!,Matches
265,Maurício Garcez,br BRA,"MF,FW",Coritiba,25,1997,6.6,1,13,2,15.4,1.96,0.30,0.08,0.50,17.5,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
266,García,br BRA,DF,Palmeiras,21,2002,3.3,0,2,0,0.0,0.61,0.00,0.00,,23.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
267,Bryan García,ec ECU,MF,Ath Paranaense,22,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
268,Luan Garcia,br BRA,DF,Palmeiras,29,1993,20.2,1,19,6,31.6,0.94,0.30,0.05,0.17,10.5,0,0,0,1.9,1.9,0.10,-0.9,-0.9,Matches
269,Rafael Gava,br BRA,MF,Cuiabá,29,1993,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
270,Pedro Geromel,br BRA,DF,Grêmio,37,1985,5.2,0,1,0,0.0,0.19,0.00,0.00,,11.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
271,Gerson,br BRA,MF,Flamengo,25,1997,29.9,5,31,12,38.7,01.04,0.40,0.16,0.42,19.8,0,0,0,2.9,2.9,0.10,#ERROR!,#ERROR!,Matches
272,Gil,br BRA,DF,Corinthians,35,1987,32.0,2,28,13,46.4,0.87,0.41,0.07,0.15,11.0,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Matches
273,Gilberto,br BRA,FW,Cruzeiro,33,1989,12.1,3,35,9,25.7,2.88,0.74,0.09,0.33,15.3,0,0,0,3.7,3.7,0.10,-0.7,-0.7,Matches
274,Gilberto,br BRA,DF,Bahia,29,1993,20.6,1,18,4,22.2,0.87,0.19,0.06,0.25,26.1,1,0,0,0.6,0.6,0.04,#ERROR!,#ERROR!,Matches
275,Giovane,br BRA,FW,Corinthians,19,2003,1.5,1,4,1,25.0,2.71,0.68,0.25,1.00,11.6,0,0,0,0.9,0.9,0.21,#ERROR!,#ERROR!,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
276,Giovani,br BRA,FW,Palmeiras,19,2004,0.2,0,1,0,0.0,6.00,0.00,0.00,,14.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
277,Giovanni,br BRA,"MF,DF",Fluminense,21,2002,1.1,0,4,0,0.0,3.75,0.00,0.00,,24.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
278,Bruno Gomes,br BRA,MF,Coritiba,21,2001,24.4,3,40,13,32.5,1.64,0.53,0.08,0.23,23.1,7,0,0,2.3,2.3,0.06,#ERROR!,#ERROR!,Matches
279,Igor Gomes,br BRA,"MF,FW",Atlético Mineiro,23,1999,15.3,2,19,5,26.3,1.24,0.33,0.11,0.40,21.0,0,0,0,1.8,1.8,0.09,#ERROR!,#ERROR!,Matches
280,Igor Gomes,br BRA,DF,Internacional,21,2001,16.3,0,11,2,18.2,0.68,0.12,0.00,0.00,19.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
281,Marlon Gomes,br BRA,MF,Vasco da Gama,19,2003,12.7,0,11,0,0.0,0.87,0.00,0.00,,,,0,0,,,,,,Matches
282,William Gomes,br BRA,FW,São Paulo,16,2006,0.8,0,2,0,0.0,2.37,0.00,0.00,,13.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
283,Gustavo Gómez,py PAR,DF,Palmeiras,29,1993,30.7,2,25,6,24.0,0.82,0.20,0.08,0.33,10.9,0,0,0,2.2,2.2,0.09,-0.2,-0.2,Matches
284,Sebastián Gómez,co COL,MF,Coritiba,26,1996,15.9,2,13,4,30.8,0.82,0.25,0.15,0.50,19.9,1,0,0,0.8,0.8,0.06,#ERROR!,#ERROR!,Matches
285,Aloísio dos Santos Gonçalves,cn CHN,"FW,MF",América (MG),34,1988,8.0,3,34,10,29.4,4.27,1.26,0.03,0.10,20.5,2,2,2,4.1,2.7,0.08,-1.1,-1.7,Matches
286,Diego Gonçalves,br BRA,"FW,MF",Goiás,28,1994,4.0,0,6,2,33.3,1.52,0.51,0.00,0.00,20.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
287,Mateus Gonçalves Martins,br BRA,"MF,FW",América (MG),28,1994,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
288,Matheus Gonçalves,br BRA,"FW,MF",Flamengo,17,2005,0.2,0,1,0,0.0,5.63,0.00,0.00,,21.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
289,Matheus Gonçalves,br BRA,"FW,MF",Bragantino,17,2005,5.1,0,16,2,12.5,3.12,0.39,0.00,0.00,19.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
290,Yony González,co COL,"FW,MF",Fluminense,28,1994,6.4,1,13,5,38.5,02.03,0.78,0.08,0.20,12.0,0,0,0,2.1,2.1,0.16,-1.1,-1.1,Matches
291,Roger Guedes,br BRA,"FW,MF",Corinthians,26,1996,15.0,7,45,16,35.6,3.00,01.07,0.11,0.31,17.8,7,2,2,6.6,5.1,0.11,#ERROR!,-0.1,Matches
292,Guga,br BRA,DF,Fluminense,24,1998,16.8,1,8,2,25.0,0.48,0.12,0.13,0.50,18.5,0,0,0,0.8,0.8,0.10,#ERROR!,#ERROR!,Matches
293,Guilherme,br BRA,MF,Goiás,31,1991,20.6,6,31,10,32.3,1.51,0.49,0.06,0.20,21.3,5,4,4,5.6,2.4,0.08,#ERROR!,-0.4,Matches
294,Guilherme,br BRA,"FW,MF",Fortaleza,27,1995,15.7,3,37,14,37.8,2.36,0.89,0.08,0.21,17.0,2,0,0,4.4,4.4,0.12,-1.4,-1.4,Matches
295,Guilherme,br BRA,"DF,MF",Bragantino,20,2002,2.9,0,3,1,33.3,01.03,0.34,0.00,0.00,28.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
296,Luis Guilherme,br BRA,"FW,MF",Palmeiras,16,2006,6.4,0,15,3,20.0,2.34,0.47,0.00,0.00,21.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
297,Gustavinho,br BRA,"FW,MF",Grêmio,21,2001,0.4,0,1,0,0.0,2.73,0.00,0.00,,3.3,0,0,0,0.4,0.4,0.38,-0.4,-0.4,Matches
298,Gustavinho,br BRA,"MF,FW",Bragantino,18,2004,7.4,1,11,3,27.3,1.49,0.41,0.09,0.33,22.9,0,0,0,0.6,0.6,0.05,#ERROR!,#ERROR!,Matches
299,Raphael Guzzo,pt POR,MF,Goiás,28,1995,6.4,1,12,3,25.0,1.87,0.47,0.08,0.33,15.9,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
300,Lucas Halter,br BRA,DF,Goiás,22,2000,28.7,3,20,6,30.0,0.70,0.21,0.15,0.50,11.5,0,0,0,0.9,0.9,0.04,#ERROR!,#ERROR!,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
301,Hayner,br BRA,"DF,MF",Coritiba,27,1995,3.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
302,Thiago Heleno,br BRA,DF,Ath Paranaense,34,1988,30.9,0,19,5,26.3,0.62,0.16,0.00,0.00,10.9,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
303,Helinho,br BRA,FW,Bragantino,22,2000,15.4,3,43,17,39.5,2.80,1.11,0.07,0.18,23.1,6,0,0,3.2,3.2,0.07,-0.2,-0.2,Matches
304,Henrique,br BRA,DF,Coritiba,36,1986,22.5,0,6,3,50.0,0.27,0.13,0.00,0.00,15.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
305,Bruno Henrique,br BRA,"FW,MF",Flamengo,32,1990,17.1,2,38,16,42.1,2.22,0.93,0.05,0.13,16.2,0,0,0,3.8,3.8,0.10,-1.8,-1.8,Matches
306,Bruno Henrique,br BRA,MF,Internacional,33,1989,11.7,2,19,7,36.8,1.63,0.60,0.11,0.29,25.0,3,0,0,1.2,1.2,0.06,#ERROR!,#ERROR!,Matches
307,Dalbert Henrique,br BRA,DF,Internacional,29,1993,5.5,0,2,0,0.0,0.36,0.00,0.00,,23.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
308,Fernando Henrique,br BRA,MF,Cruzeiro,21,2001,1.5,0,4,1,25.0,2.75,0.69,0.00,0.00,20.2,0,0,0,1.0,1.0,0.24,-1.0,-1.0,Matches
309,Luis Henrique,br BRA,"FW,MF",Botafogo (RJ),21,2001,15.3,4,27,13,48.1,1.76,0.85,0.15,0.31,20.2,0,0,0,3.3,3.3,0.12,#ERROR!,#ERROR!,Matches
310,Mateus Henrique,br BRA,DF,América (MG),20,2002,6.0,0,3,0,0.0,0.50,0.00,0.00,,13.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
311,Paulo Henrique,br BRA,DF,Vasco da Gama,26,1996,9.5,1,10,6,60.0,01.06,0.63,0.10,0.17,24.1,0,0,0,0.3,0.3,0.03,#ERROR!,#ERROR!,Matches
312,Pedro Henrique,br BRA,DF,Ath Paranaense,27,1995,9.5,1,7,2,28.6,0.74,0.21,0.14,0.50,15.5,0,0,0,0.6,0.6,0.08,#ERROR!,#ERROR!,Matches
313,Pedro Henrique,br BRA,"FW,MF",Internacional,32,1990,14.1,3,36,9,25.0,2.55,0.64,0.06,0.22,17.2,0,1,1,4.4,3.6,0.10,-1.4,-1.6,Matches
314,Breno Herculano,br BRA,"FW,MF",Goiás,23,1999,0.9,0,4,0,0.0,4.56,0.00,0.00,,14.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
315,Hércules,br BRA,MF,Fortaleza,22,2000,8.6,1,15,5,33.3,1.75,0.58,0.07,0.20,27.8,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
316,Diego Hernández,uy URU,FW,Botafogo (RJ),22,2000,0.5,0,3,2,66.7,6.59,4.39,0.00,0.00,22.2,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
317,Nicolás Hernández,co COL,DF,Internacional,25,1998,14.4,0,4,0,0.0,0.28,0.00,0.00,,10.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
318,Lucca Holanda,br BRA,FW,Internacional,19,2003,6.1,0,12,3,25.0,1.96,0.49,0.00,0.00,17.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
319,Hugo,br BRA,DF,Goiás,25,1997,15.8,1,16,6,37.5,01.02,0.38,0.06,0.17,28.2,3,0,0,0.4,0.4,0.02,#ERROR!,#ERROR!,Matches
320,Hugo,br BRA,DF,Botafogo (RJ),21,2001,15.5,0,8,2,25.0,0.52,0.13,0.00,0.00,27.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
321,Victor Hugo,br BRA,"MF,FW",Flamengo,18,2004,14.2,1,15,3,20.0,01.06,0.21,0.07,0.33,17.5,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
322,Vitor Hugo,br BRA,DF,Bahia,31,1991,23.7,1,14,3,21.4,0.59,0.13,0.07,0.33,12.5,0,0,0,0.7,0.7,0.05,#ERROR!,#ERROR!,Matches
323,Hulk,br BRA,FW,Atlético Mineiro,36,1986,32.7,15,117,43,36.8,3.58,1.32,0.09,0.23,25.2,34,5,5,11.9,8.4,0.07,#ERROR!,#ERROR!,Matches
324,José Hurtado,ec ECU,DF,Bragantino,21,2001,18.0,0,7,2,28.6,0.39,0.11,0.00,0.00,26.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
325,Hyoran,br BRA,"MF,FW",Atlético Mineiro,29,1993,7.7,2,19,5,26.3,2.47,0.65,0.11,0.40,20.9,3,0,0,2.1,2.1,0.11,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
326,Igor,br BRA,MF,Flamengo,19,2003,0.9,0,4,0,0.0,4.62,0.00,0.00,,30.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
327,André Inácio,br BRA,FW,Flamengo,20,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
328,Gabriel Inocêncio,br BRA,DF,Santos,28,1994,14.2,0,11,4,36.4,0.78,0.28,0.00,0.00,22.1,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
329,Isaac,br BRA,FW,Atlético Mineiro,18,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
330,Isaac,br BRA,"MF,DF",Fluminense,18,2004,1.5,0,4,0,0.0,2.75,0.00,0.00,,13.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
331,Juan Iturbe,py PAR,"FW,MF",Grêmio,29,1993,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
332,Zé Ivaldo,br BRA,DF,Ath Paranaense,25,1997,11.3,0,3,1,33.3,0.27,0.09,0.00,0.00,26.6,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
333,Ivonei,br BRA,MF,Santos,20,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
334,Vítor Jacaré,br BRA,"DF,MF",Bahia,23,1999,9.5,1,23,7,30.4,2.42,0.74,0.04,0.14,22.2,3,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
335,Jadsom,br BRA,MF,Bragantino,21,2001,21.1,1,23,6,26.1,01.09,0.28,0.04,0.17,27.7,0,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches
336,Jair,br BRA,MF,Vasco da Gama,28,1994,17.7,3,13,4,30.8,0.74,0.23,0.08,0.25,18.5,0,2,2,2.2,0.6,0.05,#ERROR!,#ERROR!,Matches
337,Jamerson,br BRA,"DF,FW",Coritiba,24,1998,21.0,0,17,6,35.3,0.81,0.29,0.00,0.00,27.7,3,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
338,Janderson,br BRA,"FW,MF",Botafogo (RJ),23,1999,4.6,1,14,4,28.6,03.04,0.87,0.07,0.25,16.8,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches
339,Jandrei,br BRA,GK,São Paulo,29,1993,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
340,Léo Jardim,br BRA,GK,Vasco da Gama,27,1995,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
341,Jemerson,br BRA,DF,Atlético Mineiro,30,1992,27.5,0,10,2,20.0,0.36,0.07,0.00,0.00,10.2,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches
342,Jesé,es ESP,MF,Coritiba,29,1993,1.1,1,4,2,50.0,3.75,1.87,0.25,0.50,16.1,0,0,0,0.3,0.3,0.07,#ERROR!,#ERROR!,Matches
343,Alexandre Jesus,br BRA,DF,Fluminense,21,2001,0.1,0,1,0,0.0,7.50,0.00,0.00,,29.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
344,Jhow,br BRA,DF,América (MG),19,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
345,Joaquim,br BRA,DF,Santos,24,1998,30.3,1,35,9,25.7,1.15,0.30,0.03,0.11,12.2,0,0,0,2.3,2.3,0.07,-1.3,-1.3,Matches
346,John,br BRA,GK,Internacional,26,1996,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
347,Felipe Jonatan,br BRA,DF,Santos,24,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
348,Jori,br BRA,GK,América (MG),26,1996,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
349,Josué,br BRA,MF,Grêmio,17,2005,1.3,0,1,0,0.0,0.77,0.00,0.00,,31.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
350,Jhonatan Jowjow,br BRA,"MF,FW",Palmeiras,20,2002,9.9,0,12,6,50.0,1.21,0.61,0.00,0.00,16.0,1,0,0,1.2,1.2,0.10,-1.2,-1.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
351,Daniel Jr,br BRA,MF,Cruzeiro,20,2002,0.3,0,2,0,0.0,7.50,0.00,0.00,,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
352,Luciano Juba,br BRA,"DF,MF",Bahia,23,1999,7.2,1,14,3,21.4,1.95,0.42,0.07,0.33,24.4,2,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
353,Juninho,br BRA,MF,América (MG),35,1987,32.5,3,28,10,35.7,0.86,0.31,0.11,0.30,15.7,0,0,0,2.4,2.4,0.09,#ERROR!,#ERROR!,Matches
354,Jussa,br BRA,MF,Cruzeiro,26,1996,19.6,1,21,9,42.9,01.07,0.46,0.05,0.11,23.0,0,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
355,Justen,br BRA,DF,Fluminense,19,2003,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
356,Kaiki,br BRA,"DF,FW",Cruzeiro,19,2003,2.5,0,1,0,0.0,0.39,0.00,0.00,,17.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
357,Kaio,br BRA,"MF,FW",Coritiba,18,2004,9.8,0,9,4,44.4,0.92,0.41,0.00,0.00,21.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
358,Lucas Kal,br BRA,MF,América (MG),26,1996,13.7,0,11,2,18.2,0.80,0.15,0.00,0.00,27.0,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
359,Walter Kannemann,ar ARG,DF,Grêmio,31,1991,26.2,0,10,4,40.0,0.38,0.15,0.00,0.00,13.6,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches
360,Kanu,br BRA,DF,Bahia,25,1997,32.3,1,20,5,25.0,0.62,0.15,0.05,0.20,13.0,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
361,Alan Kardec,br BRA,"FW,MF",Atlético Mineiro,34,1989,2.9,1,7,1,14.3,2.38,0.34,0.14,1.00,10.5,0,0,0,0.9,0.9,0.13,#ERROR!,#ERROR!,Matches
362,Kauan,br BRA,FW,Fortaleza,17,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
363,Vinicius Kaue,br BRA,"DF,MF",Ath Paranaense,19,2003,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
364,Kayque,br BRA,MF,Botafogo (RJ),22,2000,0.3,0,1,0,0.0,3.33,0.00,0.00,,25.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
365,Renato Kayser,br BRA,"FW,MF",América (MG),26,1996,0.4,0,3,0,0.0,6.92,0.00,0.00,,9.0,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
366,Keiller,br BRA,GK,Internacional,26,1996,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
367,John Kennedy,br BRA,"FW,MF",Fluminense,20,2002,15.2,6,51,22,43.1,3.35,1.44,0.12,0.27,16.3,0,0,0,6.3,6.3,0.12,-0.3,-0.3,Matches
368,Keno,br BRA,"FW,MF",Fluminense,33,1989,17.9,2,42,18,42.9,2.34,1.00,0.02,0.06,20.7,0,1,1,2.8,2.0,0.05,-0.8,-1.0,Matches
369,Kevin,br BRA,"FW,DF",Palmeiras,20,2003,2.6,0,6,1,16.7,2.33,0.39,0.00,0.00,18.2,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
370,Kevyson,br BRA,DF,Santos,18,2004,10.8,0,7,3,42.9,0.65,0.28,0.00,0.00,24.2,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
371,Khellven,br BRA,DF,Ath Paranaense,21,2001,11.1,0,10,2,20.0,0.90,0.18,0.00,0.00,21.0,3,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
372,Maurício Kozlinski,br BRA,GK,Fortaleza,31,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
373,Benjamín Kuscevic,cl CHI,DF,Coritiba,26,1996,22.5,2,12,2,16.7,0.53,0.09,0.17,1.00,12.0,0,0,0,1.0,1.0,0.08,#ERROR!,#ERROR!,Matches
374,Derik Lacerda,br BRA,"FW,MF",Cuiabá,23,1999,7.3,1,19,3,15.8,2.60,0.41,0.05,0.33,14.8,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
375,Ignacio Laquintana,uy URU,FW,Bragantino,23,1999,2.0,0,4,2,50.0,1.97,0.98,0.00,0.00,26.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
376,Thauan Lara,br BRA,"DF,MF",Internacional,19,2004,3.7,0,5,1,20.0,1.34,0.27,0.00,0.00,27.6,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
